Date;Symbol;Clos
2024-02-14;ADP;248.03
2024-02-15;ADP;249.17
2024-02-16;ADP;250.08
2024-02-20;ADP;250.05
2024-02-21;ADP;251.01
2024-02-22;ADP;251.85
2024-02-23;ADP;252.94
2024-02-26;ADP;250.65
2024-02-27;ADP;248.43
2024-02-28;ADP;248.68
2024-02-29;ADP;248.26
2024-03-01;ADP;246.83
2024-03-04;ADP;243.38
2024-03-05;ADP;241.21
2024-03-06;ADP;240.97
2024-03-07;ADP;242.85
2024-03-08;ADP;241.01
2024-03-11;ADP;242.69
2024-03-12;ADP;243.27
2024-03-13;ADP;242.81
2024-03-14;ADP;241.86
2024-03-15;ADP;240.7
2024-03-18;ADP;240.46
2024-03-19;ADP;242.73
2024-03-20;ADP;246.3
2024-03-21;ADP;247.52
2024-03-22;ADP;246.19
2024-03-25;ADP;242.8
2024-03-26;ADP;243.67
2024-03-27;ADP;246.91
2024-03-28;ADP;248.31
2024-01-02;ADSK;234.12
2024-01-03;ADSK;227.19
2024-01-04;ADSK;228.92
2024-01-05;ADSK;229.52
2024-01-08;ADSK;235.45
2024-01-09;ADSK;235.96
2024-01-10;ADSK;238.82
2024-01-11;ADSK;240.65
2024-01-12;ADSK;242.44
2024-01-16;ADSK;241.5
2024-01-17;ADSK;238.47
2024-01-18;ADSK;241.18
2024-01-19;ADSK;248.64
2024-01-22;ADSK;250.79
2024-01-23;ADSK;252.78
2024-01-24;ADSK;252.66
2024-01-25;ADSK;251.75
2024-01-26;ADSK;253.07
2024-01-29;ADSK;257.23
2024-01-30;ADSK;256.47
2024-01-31;ADSK;253.81
2024-02-01;ADSK;255.07
2024-02-02;ADSK;256.45
2024-02-05;ADSK;252.81
2024-02-06;ADSK;253.98
2024-02-07;ADSK;258.43
2024-02-08;ADSK;261.51
2024-02-09;ADSK;266.68
2024-02-12;ADSK;262.04
2024-02-13;ADSK;256.76
2024-02-14;ADSK;262.17
2024-02-15;ADSK;261.25
2024-02-16;ADSK;258.3
2024-02-20;ADSK;255.26
2024-02-21;ADSK;252.52
